Date,Open,High,Low,Close,Volume
2020-01-01,27.801799774169922,27.801799774169922,27.801799774169922,27.801799774169922,0
2020-01-02,27.95039939880371,27.95039939880371,27.95039939880371,27.95039939880371,0
2020-01-03,27.979700088500977,27.979700088500977,27.979700088500977,27.979700088500977,0
2020-01-06,27.653900146484375,27.653900146484375,27.653900146484375,27.653900146484375,0
2020-01-07,27.763999938964844,27.763999938964844,27.763999938964844,27.763999938964844,0
2020-01-08,27.803800582885742,27.803800582885742,27.803800582885742,27.803800582885742,0
2020-01-09,28.016399383544922,28.016399383544922,28.016399383544922,28.016399383544922,0
2020-01-10,28.077600479125977,28.077600479125977,28.077600479125977,28.077600479125977,0
2020-01-13,28.089500427246094,28.089500427246094,28.089500427246094,28.089500427246094,0
2020-01-14,28.28529930114746,28.28529930114746,28.28529930114746,28.28529930114746,0
2020-01-15,28.359899520874023,28.359899520874023,28.359899520874023,28.359899520874023,0
2020-01-16,28.407699584960938,28.407699584960938,28.407699584960938,28.407699584960938,0
2020-01-17,28.528499603271484,28.528499603271484,28.528499603271484,28.528499603271484,0
2020-01-20,28.499799728393555,28.499799728393555,28.499799728393555,28.499799728393555,0
2020-01-21,28.455799102783203,28.455799102783203,28.455799102783203,28.455799102783203,0
2020-01-22,28.4955997467041,28.4955997467041,28.4955997467041,28.4955997467041,0
2020-01-23,28.6018009185791,28.6018009185791,28.6018009185791,28.6018009185791,0
2020-01-24,28.582199096679688,28.582199096679688,28.582199096679688,28.582199096679688,0
2020-01-27,28.38129997253418,28.38129997253418,28.38129997253418,28.38129997253418,0
2020-01-28,28.283100128173828,28.283100128173828,28.283100128173828,28.283100128173828,0
2020-01-29,28.495800018310547,28.495800018310547,28.495800018310547,28.495800018310547,0
2020-01-30,28.473600387573242,28.473600387573242,28.473600387573242,28.473600387573242,0
2020-01-31,28.43600082397461,28.43600082397461,28.43600082397461,28.43600082397461,0
2020-02-03,28.27359962463379,28.27359962463379,28.27359962463379,28.27359962463379,0
2020-02-04,28.797500610351562,28.797500610351562,28.797500610351562,28.797500610351562,0
