Date,Open,High,Low,Close,Volume
2021-09-22,3419.4901189466127,3449.9004282075575,3410.592761622935,3419.18017578125,1744067
2021-09-23,3426.1297989557083,3434.09754267421,3395.1441289393133,3425.4658203125,2003869
2021-09-24,3443.8356741205457,3491.9961688146536,3412.850006101466,3427.280517578125,2320754
2021-09-27,3452.6888746968325,3456.230094055496,3366.7256883097275,3396.870361328125,1673362
2021-09-28,3408.4241389749136,3408.4241389749136,3321.000273072635,3345.7001953125,2253075
2021-09-29,3328.5686651270144,3369.469699172437,3295.2368133801656,3356.98681640625,2489161
2021-09-30,3368.58512538238,3368.58512538238,3319.9819731037724,3342.512939453125,2252412
2021-10-01,3348.0017681247846,3373.011631270028,3297.760715611773,3302.3642578125,1578374
2021-10-04,3297.583708781848,3349.6837720532653,3282.2235824322406,3340.52099609375,1356860
2021-10-05,3323.4342025006117,3399.5704149180474,3312.4565094913187,3393.638916015625,1877966
2021-10-06,3396.0290975092903,3415.01884159684,3359.7316019415425,3373.807861328125,1678154
2021-10-07,3390.7174889832863,3451.80352207463,3381.908749178324,3446.403076171875,1647233
2021-10-08,3474.821589658137,3532.277788850689,3452.688968067958,3484.25,2934339
2021-10-11,3324.319211275301,3326.5324730670955,3240.215263187111,3262.879150390625,11845402
2021-10-12,3280.9396061000634,3281.8249109047315,3214.1877102836343,3233.8857421875,5752877
2021-10-13,3231.3630103036403,3253.8939776545526,3226.936485631991,3235.966552734375,3545655
2021-10-14,3215.387837781838,3255.3029971474057,3200.4861349746393,3203.368896484375,6442299
2021-10-18,3196.2726590535945,3239.9575806125013,3194.498652086735,3235.03466796875,3590107
2021-10-19,3254.4158205064023,3273.1316808571055,3215.565024146303,3223.503662109375,3135441
2021-10-20,3203.8567186109995,3219.8227819927815,3173.964743256937,3201.062744140625,2933693
2021-10-21,3196.849131476955,3199.820463019318,3114.490776823331,3133.339599609375,4871211
2021-10-22,3157.7328600565615,3159.152152457809,3091.207589128404,3103.49267578125,2691670
2021-10-25,3107.1737071107864,3117.418642319064,3060.162514853615,3098.25927734375,2595594
2021-10-26,3099.6338687798507,3130.235490892572,3082.337299759617,3089.07861328125,3878763
2021-10-27,3089.433380304038,3114.491230718505,3089.433380304038,3095.420654296875,2510813
2021-10-28,3120.478755095048,3120.478755095048,3029.11738165139,3035.015869140625,2424942
2021-10-29,3015.856313483621,3069.9191338563896,3003.3494774292535,3013.816162109375,3960501
2021-11-01,3049.4740992966476,3092.9816708421895,3027.2990084532134,3083.579345703125,2020718
2021-11-02,3099.190236224732,3116.5755914866954,3077.6804012995885,3090.49755859375,3087414
2021-11-03,3108.23783282908,3122.163745415681,3074.39873362359,3097.63818359375,1537639
2021-11-04,3115.999217340445,3116.2653617280953,3108.9475821125666,3112.18505859375,328991
2021-11-08,3147.088570475876,3147.088570475876,3087.8366904944155,3106.95166015625,2526082
2021-11-09,3111.608022286807,3135.5571148186614,3100.963981161539,3109.56787109375,1782692
2021-11-10,3102.7383307642617,3121.986263947992,3086.9496247069433,3090.58642578125,1516489
2021-11-11,3086.7722686985917,3113.426767950228,3047.744113577115,3094.045654296875,1284514
2021-11-12,3109.834189325113,3134.8032505729047,3091.8279754373,3127.61865234375,1747259
